city,occupation,0
"Cumberland, MD-WV",Computer and Mathematical,42.0
"Cumberland, MD-WV",Personal Care and Service,168.0
"Cumberland, MD-WV","Installation, Maintenance, and Repair",132.0
"Cumberland, MD-WV",Construction and Extraction,164.0
"Cumberland, MD-WV",Management,108.0
"Cumberland, MD-WV",Business and Financial Operations,97.0
"Cumberland, MD-WV",Production,249.0
"Cumberland, MD-WV",Healthcare Practitioners and Technical,301.0
"Cumberland, MD-WV","Education, Training, and Library",282.0
"Cumberland, MD-WV",Transportation and Material Moving,187.0
"Cumberland, MD-WV",Food Preparation and Serving Related,369.0
"Cumberland, MD-WV",Sales and Related,396.0
"Cumberland, MD-WV",Office and Administrative Support,574.0
"Rome, GA",Legal,18.0
"Rome, GA","Life, Physical, and Social Science",10.0
"Rome, GA","Arts, Design, Entertainment, Sports, and Media",24.0
"Rome, GA",Community and Social Service,54.0
"Rome, GA",Architecture and Engineering,23.0
"Rome, GA",Protective Service,81.0
"Rome, GA",Healthcare Support,146.0
"Rome, GA",Building and Grounds Cleaning and Maintenance,102.0
"Rome, GA",Computer and Mathematical,37.0
"Rome, GA",Personal Care and Service,86.0
"Rome, GA","Installation, Maintenance, and Repair",161.0
"Rome, GA",Construction and Extraction,78.0
"Rome, GA",Management,172.0
"Rome, GA",Business and Financial Operations,93.0
"Rome, GA",Production,376.0
"Rome, GA",Healthcare Practitioners and Technical,384.0
"Rome, GA","Education, Training, and Library",284.0
"Rome, GA",Transportation and Material Moving,272.0
"Rome, GA",Food Preparation and Serving Related,360.0
"Rome, GA",Sales and Related,366.0
"Rome, GA",Office and Administrative Support,513.0
"Madera, CA",Legal,7.0
"Madera, CA","Life, Physical, and Social Science",39.0
"Madera, CA","Arts, Design, Entertainment, Sports, and Media",20.0
"Madera, CA",Community and Social Service,75.0
"Madera, CA",Architecture and Engineering,18.0
"Madera, CA",Protective Service,171.0
"Madera, CA",Healthcare Support,93.0
"Madera, CA",Building and Grounds Cleaning and Maintenance,155.0
"Madera, CA",Computer and Mathematical,32.0
"Madera, CA",Personal Care and Service,118.0
"Madera, CA","Installation, Maintenance, and Repair",161.0
"Madera, CA",Construction and Extraction,141.0
"Madera, CA",Management,138.0
"Madera, CA",Business and Financial Operations,86.0
"Madera, CA",Production,398.0
"Madera, CA",Healthcare Practitioners and Technical,325.0
"Madera, CA","Education, Training, and Library",314.0
"Madera, CA",Transportation and Material Moving,248.0
"Madera, CA",Food Preparation and Serving Related,283.0
"Madera, CA",Sales and Related,285.0
"Madera, CA",Office and Administrative Support,539.0
"Wenatchee, WA",Legal,19.0
"Wenatchee, WA","Life, Physical, and Social Science",61.0
"Wenatchee, WA","Arts, Design, Entertainment, Sports, and Media",48.0
